# Residuals         
# Time              	p                   	k                   	omega               
23.90337            	4.594902553012e-02	4.112051676962e-07	7.795172788834e-07
23.91337            	5.102157665584e-02	4.076492232327e-07	7.781090393466e-07
23.92337            	5.698814622916e-02	4.042386163824e-07	7.769769237351e-07
23.93337            	5.732144692794e-02	4.010543871789e-07	7.760875116247e-07
23.94337            	5.278420434899e-02	3.980789029126e-07	7.754426260127e-07
23.95337            	4.928169174243e-02	3.955454034665e-07	7.749899360883e-07
23.96337            	4.671461606642e-02	3.936961532590e-07	7.747319489632e-07
23.97337            	4.470330778538e-02	3.928650207496e-07	7.747738052270e-07
23.98337            	4.322129331438e-02	3.926719510227e-07	7.750659684490e-07
23.99337            	4.218915809194e-02	3.932420103053e-07	7.756556350760e-07
24.00337            	4.186249801377e-02	3.950765596128e-07	7.767572837015e-07
24.01337            	4.197036674099e-02	3.985889698368e-07	7.785443604896e-07
24.02337            	4.287126475194e-02	4.033106729160e-07	7.807839397026e-07
24.03337            	4.577821504089e-02	4.088488194707e-07	7.833098957468e-07
24.04337            	4.605465292064e-02	4.150246659158e-07	7.860045804709e-07
24.05337            	4.731604383668e-02	4.216142203196e-07	7.887978342989e-07
24.06337            	4.577847629609e-02	4.285809432215e-07	7.916219533236e-07
24.07337            	4.502603880833e-02	4.358683891191e-07	7.944465979091e-07
24.08337            	4.502733003157e-02	4.432919566302e-07	7.972134981798e-07
24.09337            	4.540791173356e-02	4.507916812613e-07	7.999386773372e-07
24.10337            	4.658758119841e-02	4.582974663483e-07	8.025910263943e-07
24.11337            	4.785488451059e-02	4.655607218003e-07	8.051150039045e-07
24.12337            	4.944605175022e-02	4.723400581408e-07	8.074601149710e-07
24.13337            	5.138594551077e-02	4.787069827164e-07	8.095964569875e-07
24.14337            	5.094319058943e-02	4.844519669673e-07	8.115839836420e-07
24.15337            	4.596090597888e-02	4.898286280462e-07	8.133956300336e-07
24.16337            	4.196603193940e-02	4.944537817379e-07	8.150498253737e-07
24.17337            	3.820280108591e-02	4.983867834250e-07	8.166086245360e-07
24.18337            	3.495102442573e-02	5.015935077152e-07	8.180568105537e-07
24.19337            	3.213128107102e-02	5.043139972549e-07	8.193652538973e-07
24.20337            	2.958074134434e-02	5.064775670167e-07	8.206558573876e-07
24.21337            	2.712346938594e-02	5.082790100165e-07	8.219206541570e-07
24.22337            	2.487212144035e-02	5.099212052266e-07	8.230308727590e-07
24.23337            	2.297278923036e-02	5.109534003721e-07	8.239416554334e-07
24.24337            	2.110298781300e-02	5.112698013558e-07	8.246048836939e-07
24.25337            	1.946570770156e-02	5.108484685421e-07	8.249109611536e-07
24.26337            	1.785453667013e-02	5.097336013347e-07	8.249367778176e-07
24.27337            	1.693843700560e-02	5.079382812390e-07	8.246045513623e-07
24.28337            	1.722140258940e-02	5.055512688054e-07	8.239292363674e-07
24.29337            	1.801307170007e-02	5.029273992085e-07	8.229690862408e-07
24.30337            	1.908035958577e-02	5.000169832163e-07	8.216590756405e-07
24.31337            	2.041200193760e-02	4.969727411988e-07	8.200691140818e-07
24.32337            	2.199209719594e-02	4.935316386015e-07	8.182913303610e-07
24.33337            	2.399060524142e-02	4.897166005109e-07	8.163335459770e-07
24.34337            	2.622078224988e-02	4.853358179168e-07	8.141289576407e-07
24.35337            	2.875631699912e-02	4.804002749286e-07	8.117351809539e-07
24.36337            	3.156001943225e-02	4.750275709680e-07	8.091515910890e-07
24.37337            	3.463335577543e-02	4.691967273662e-07	8.063366284368e-07
24.38337            	3.775554913042e-02	4.629829236181e-07	8.033141060281e-07
24.39337            	4.106622160928e-02	4.564209776786e-07	8.001455614847e-07
24.40337            	4.465742018731e-02	4.495443326474e-07	7.968751599293e-07
24.41337            	4.832596682907e-02	4.423766323597e-07	7.935370998052e-07
24.42337            	5.202733000655e-02	4.350375766755e-07	7.901478043058e-07
24.43337            	5.570590077917e-02	4.275619440968e-07	7.867287030414e-07
24.44337            	5.890415885682e-02	4.201903220933e-07	7.832618532731e-07
24.45337            	6.168723884192e-02	4.133101225603e-07	7.798033099954e-07
24.46337            	6.410143204969e-02	4.072218336090e-07	7.764609116785e-07
24.47337            	6.594341943752e-02	4.024997269560e-07	7.734124194197e-07
24.48337            	6.706083532446e-02	4.001181816486e-07	7.708294217671e-07
24.49337            	6.672010434942e-02	3.999151718059e-07	7.688205591642e-07
24.50337            	6.632429061833e-02	4.017685966172e-07	7.677348421212e-07
24.51337            	6.504138380656e-02	4.062253862920e-07	7.677714557913e-07
24.52337            	6.576902016367e-02	4.121272745140e-07	7.683933800400e-07
24.53337            	6.632404668561e-02	4.187556187847e-07	7.693229491395e-07
24.54337            	6.311050063319e-02	4.256709443270e-07	7.704383126733e-07
24.55337            	5.719375547273e-02	4.324919180910e-07	7.716528194276e-07
24.56337            	5.141472064210e-02	4.391761498249e-07	7.729288643448e-07
24.57337            	4.656626422953e-02	4.456525244117e-07	7.742362061848e-07
24.58337            	4.255227274430e-02	4.518252425284e-07	7.755405712139e-07
24.59337            	3.910169007733e-02	4.575614777843e-07	7.767883041529e-07
24.60337            	3.594229018140e-02	4.627373268296e-07	7.779485432408e-07
24.61337            	3.314841543657e-02	4.673728312974e-07	7.789883433028e-07
