# Residuals         
# Time              	p_rgh               	k                   	omega               
523.9975824007      	4.488007674088e-05	7.467994441373e-07	7.428608355306e-08
524.0005824007      	4.488153335811e-05	7.499615796741e-07	7.366258817466e-08
524.0035824007      	4.499857662140e-05	7.453145082938e-07	7.348375946468e-08
524.0065824007      	4.512497698597e-05	7.452898145266e-07	7.367678810850e-08
524.0095824007      	4.518980838050e-05	7.458338683141e-07	7.492100825462e-08
524.0125824007      	4.517307565084e-05	7.466510884540e-07	7.486844756626e-08
524.0155824007      	4.489369403007e-05	7.528518068939e-07	7.451597190957e-08
524.0185824007      	4.467467383382e-05	7.576604999536e-07	7.478654176827e-08
524.0215824007      	4.449744301915e-05	7.486320256968e-07	7.859888831039e-08
524.0245824007      	4.467566862882e-05	7.470172840244e-07	7.598429542442e-08
524.0275824007      	4.476101494973e-05	7.536750386620e-07	7.493881126864e-08
524.0305824007      	4.470877014927e-05	7.512333716382e-07	7.559539798595e-08
524.0335824007      	4.458524022826e-05	7.516361332873e-07	7.459970667338e-08
524.0365824007      	4.471830680720e-05	7.608370305431e-07	7.466703990426e-08
524.0395824007      	4.485210513062e-05	7.622071234385e-07	7.467799803336e-08
524.0425824007      	4.463403971209e-05	7.533791366675e-07	7.534489020128e-08
524.0455824007      	4.450555359979e-05	7.458252935429e-07	7.484446391790e-08
524.0485824007      	4.454642623576e-05	7.479478866692e-07	7.456486723540e-08
524.0515824007      	4.427172604431e-05	7.541549538250e-07	7.399829642955e-08
524.0545824007      	4.396085869821e-05	7.601235260141e-07	7.636308224918e-08
524.0575824007      	4.387561314112e-05	7.554144614012e-07	7.604068945325e-08
524.0605824007      	4.400750953411e-05	7.499542079901e-07	7.578345865313e-08
524.0635824007      	4.407417665012e-05	7.530354243621e-07	7.415258169415e-08
524.0665824007      	4.391546755832e-05	7.618515291769e-07	7.471198249914e-08
524.0695824007      	4.365295349868e-05	7.638623450218e-07	7.496016485616e-08
524.0725824007      	4.363265530353e-05	7.604323676364e-07	7.483486210629e-08
524.0755824007      	4.367739866383e-05	7.599462082267e-07	7.438520008942e-08
524.0785824007      	4.376386057234e-05	7.620113584891e-07	7.414023382629e-08
524.0815824007      	4.368859373201e-05	7.549281145441e-07	7.448583453032e-08
524.0845824007      	4.387246025278e-05	7.537190032438e-07	7.377611442295e-08
524.0875824007      	4.368494091117e-05	7.612117711279e-07	7.393737345756e-08
524.0905824007      	4.362411104046e-05	7.658269106566e-07	7.493300751899e-08
524.0935824007      	4.352930357379e-05	7.619401382257e-07	7.495961597538e-08
524.0965824007      	4.372633335668e-05	7.518446163318e-07	7.425845735675e-08
524.0995824007      	4.322404156397e-05	7.467979686499e-07	7.395312989890e-08
524.1025824007      	4.351212958952e-05	7.576676681825e-07	7.392432801784e-08
524.1055824007      	4.345609575399e-05	7.659616820383e-07	7.472370973714e-08
524.1085824007      	4.355377051271e-05	7.626773762959e-07	7.368429465669e-08
524.1115824007      	4.368226506503e-05	7.575926583637e-07	7.696070366603e-08
524.1145824007      	4.373603477264e-05	7.586386294280e-07	7.364880958832e-08
524.1175824007      	4.366013930584e-05	7.531234899773e-07	7.433405303855e-08
524.1205824007      	4.384300643500e-05	7.531253576297e-07	7.318134494216e-08
524.1235824007      	4.396039826404e-05	7.556379714128e-07	7.339992076944e-08
524.1265824007      	4.407425852925e-05	7.645264262055e-07	7.347805005566e-08
524.1295824007      	4.394174838522e-05	7.560069509548e-07	7.388671853093e-08
